NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
..Poslušanje spletnih radijskih postaj;2009;386011;85005;134088;166917
..Gledanje spletne TV;2009;419899;113221;155277;151401
..Iskanje drugih informacij;2009;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2009;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2009;-;-;-;-
..Izdelava spletnih strani ali blogov;2009;-;-;-;-
..Uporaba e-pošte za delitev datotek;2009;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2009;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2009;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2009;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2009;333719;75947;114249;143522
..Pošiljanje sporoèil v spletne klepetalnice;2009;184737;36645;68654;79438
..Pošiljanje sporoèil v novièarske skupine;2009;76699;20627;25763;30309
..Pošiljanje sporoèil v spletne forume;2009;250242;63165;86164;100913
..Branje spletnih forumov;2009;539512;140540;173653;225319
..Neposredno sporoèanje;2009;469179;113180;164292;191707
..Branje blogov;2009;388058;78339;129341;180378
..Pošiljanje komentarjev na druge bloge;2009;176750;20660;68535;87555
..Ustvarjanje in urejanje lastnega bloga;2009;120265;14511;53809;51945
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2009;509253;147043;172099;190111
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2009;481637;141820;161674;178143
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2009;297792;87107;105606;105079
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2009;128179;45215;35468;47496
Posamezniki;2010;1577092;310816;557737;708539
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2010;1070422;216208;408148;446065
..Pošiljanje ali prejemanje e-pošte;2010;916704;191454;357884;367365
..E-banèništvo;2010;449983;100277;170226;179479
..Iskanje informacij o blagu, storitvah;2010;892496;183980;343138;365377
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2010;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2010;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2010;594238;122305;234898;237035
..Branje spletni novic, spletnih èasopisov, spletnih revij;2010;647887;138781;247926;261179
...Naroèilo na spletne èasopisove, revije;2010;94715;20719;37858;36138
..Iskanje službe, pošiljanje prošenj za službo;2010;219246;47831;79552;91863
..Iskanje informacij, povezanih z zdravjem;2010;684589;147127;261028;276435
..E-naroèanje obiska pri zdravniku;2010;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2010;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2010;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2010;430414;81728;179089;169597
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2010;222103;58064;76234;87805
...Telefoniranje prek interneta;2010;183489;45488;62428;75573
