NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Uèenec, dijak, študent;Zaposlen, samozaposlen;Upokojenec;Drugo
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2009;565945;141846;364140;23045;36914
..Poslušanje spletnih radijskih postaj;2009;386011;107195;246689;8839;23288
..Gledanje spletne TV;2009;419899;106803;270838;18882;23375
..Iskanje drugih informacij;2009;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2009;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2009;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2009;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2009;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2009;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2009;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2009;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2009;333719;138482;169111;8483;17643
..Pošiljanje sporoèil v spletne klepetalnice;2009;184737;75103;95552;1783;12299
..Pošiljanje sporoèil v novièarske skupine;2009;76699;22777;46321;2478;5124
..Pošiljanje sporoèil v spletne forume;2009;250242;112956;119175;7132;10978
..Branje spletnih forumov;2009;539512;156169;331077;24028;28238
..Neposredno sporoèanje;2009;469179;168053;262211;14820;24094
..Branje blogov;2009;388058;111059;233741;18049;25208
..Pošiljanje komentarjev na druge bloge;2009;176750;80719;78825;3879;13328
..Ustvarjanje in urejanje lastnega bloga;2009;120265;66706;45756;565;7239
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2009;509253;99308;361429;25159;23357
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2009;481637;96125;341114;22988;21411
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2009;297792;40278;229930;12277;15307
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2009;128179;17246;99717;5579;5638
Posamezniki;2010;1577092;186702;900029;360090;130271
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2010;1070422;186702;736101;77041;70577
..Pošiljanje ali prejemanje e-pošte;2010;916704;181758;624473;56919;53553
..E-banèništvo;2010;449983;35784;369619;24442;20137
..Iskanje informacij o blagu, storitvah;2010;892496;148111;626357;60858;57170
