NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;16–24;25–34;35–44;45–54;55–64;65–74;Moški – SKUPAJ;Moški 16–24;Moški 25–54;Moški 55–74;Ženske – SKUPAJ;Ženske 16–24;Ženske 25–54;Ženske 55–74
..Iskanje informacij, povezanih z zdravjem;2009;512423;95747;157667;125621;75639;46585;11163;199707;39247;136065;24395;312715;56501;222862;33353
..E-naroèanje obiska pri zdravniku;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2009;317095;152739;114756;35685;9750;3788;377;163125;77236;83390;2499;153970;75503;76802;1665
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2009;225441;67444;66224;44646;32666;12269;2192;136335;39630;88345;8359;89106;27814;55191;6101
...Telefoniranje prek interneta;2009;164874;37668;52978;40920;21726;10722;860;100229;19736;74447;6046;64645;17932;41176;5537
…Video telefoniranje s spletno kamero prek interneta;2009;135217;47918;36563;20651;22816;5938;1332;77460;28060;44919;4481;57758;19858;35110;2789
..Telefoniranje prek interneta, videokonferenca;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Prodaja blaga, storitev;2009;293329;63883;114817;60962;33481;19042;1144;183809;42444;128524;12841;109520;21438;80736;7346
..Prenašanje programske opreme;2009;311893;118174;110069;49414;24150;8360;1726;202049;74874;119243;7932;109844;43300;64390;2155
..Nalaganje lastnih vsebin na spletne strani;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2009;361031;123869;121028;63341;32448;17730;2615;195555;64939;115767;14848;165476;58930;101050;5496
..Pridobivanje informacij o izobraževanju;2009;335775;88660;101886;68814;51923;21697;2794;148600;37151;98603;12846;187175;51509;124020;11645
..Opravljanje teèaja prek interneta;2009;50556;20537;16065;6325;4293;2960;377;23546;10349;11802;1395;27011;10188;14881;1942
..Pridobivanje novih znanj, informacij;2009;453878;146810;138997;94866;52741;20087;377;217602;74259;135789;7555;236275;72551;150815;12909
..Uporaba interneta za izobraževanje in teèaje;2009;607779;172981;176288;133083;85140;37495;2794;294796;88258;187107;19432;312983;84722;207403;20857
..Udeležba kakršnega koli teèaja;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2009;565945;152542;177689;112854;86397;34177;2286;299546;81088;197901;20558;266399;71454;179039;15906
..Poslušanje spletnih radijskih postaj;2009;386011;114867;138100;73287;44900;13549;1308;218791;63725;144506;10559;167220;51142;111781;4297
..Gledanje spletne TV;2009;419899;110753;128857;86036;64977;26989;2286;218131;57393;144678;16060;201767;53359;135193;13215
..Iskanje drugih informacij;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2009;333719;145012;103044;46448;25254;12277;1684;178308;79309;92637;6362;155411;65702;82109;7599
..Pošiljanje sporoèil v spletne klepetalnice;2009;184737;79570;61673;24618;13125;5376;377;102155;45631;53585;2940;82582;33939;45830;2813
..Pošiljanje sporoèil v novièarske skupine;2009;76699;24498;30166;11122;7153;3761;-;43071;12681;28741;1649;33628;11817;19698;2112
..Pošiljanje sporoèil v spletne forume;2009;250242;117233;75274;33373;14885;7793;1684;132310;64043;62592;5675;117932;53190;60939;3803
..Branje spletnih forumov;2009;539512;161377;169661;102673;69253;29885;6664;279227;87113;172088;20026;260285;74264;169498;16523
..Neposredno sporoèanje;2009;469179;175570;145161;82710;41305;19653;4780;244600;94567;135646;14387;224579;81003;133530;10046
..Branje blogov;2009;388058;117861;120980;70747;51007;24421;3041;210026;59645;132722;17659;178032;58216;110013;9802
..Pošiljanje komentarjev na druge bloge;2009;176750;88632;50882;21162;10731;4967;377;94157;47468;43483;3206;82594;41164;39292;2138
..Ustvarjanje in urejanje lastnega bloga;2009;120265;70835;30786;9894;5687;2687;377;65223;36345;26379;2499;55043;34490;19988;565
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2009;509253;101897;152284;119802;91821;38505;4943;236103;49232;163262;23609;273150;52665;200645;19839
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2009;481637;95948;147625;113705;83722;35694;4943;224404;46627;155543;22234;257233;49321;189510;18402
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2009;297792;41769;92927;80383;61618;19242;1854;139601;21060;106676;11864;158191;20708;128252;9231
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2009;128179;16283;42668;32364;25441;10563;860;52038;2841;43279;5918;76141;13442;57193;5506
Posamezniki;2010;1577092;218027;306771;302328;310519;256111;183336;800709;113868;476202;210638;776383;104159;443416;228808
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2010;1070422;212507;284749;250300;199285;101054;22526;560837;110162;384268;66407;509585;102346;350066;57173
..Pošiljanje ali prejemanje e-pošte;2010;916704;200207;260640;211419;148640;79187;16611;465011;100680;316301;48030;451693;99527;304398;47767
..E-banèništvo;2010;449983;32542;145199;125254;91799;45942;9247;240247;19229;188659;32358;209736;13313;173592;22831
..Iskanje informacij o blagu, storitvah;2010;892496;163097;254502;212176;158832;85694;18196;481129;88087;334850;58192;411367;75009;290659;45698
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2010;594238;94883;182807;152446;95885;53098;15119;282860;36299;209331;37230;311378;58584;221807;30987
..Branje spletni novic, spletnih èasopisov, spletnih revij;2010;647887;129149;178897;149951;120365;56507;13018;326548;58643;230210;37696;321338;70506;219004;31829
...Naroèilo na spletne èasopisove, revije;2010;94715;15546;25594;22396;16487;11466;3225;47275;10288;32420;4567;47440;5258;32058;10124
..Iskanje službe, pošiljanje prošenj za službo;2010;219246;47994;88417;50559;23958;8318;-;89450;17241;68673;3536;129796;30753;94261;4782
..Iskanje informacij, povezanih z zdravjem;2010;684589;111606;195333;174167;123490;65572;14420;309342;48008;219914;41420;375246;63598;273076;38573
..E-naroèanje obiska pri zdravniku;2010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2010;430414;167349;156224;67306;25733;11225;2577;227528;84455;135797;7275;202886;82894;113466;6527
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2010;222103;59936;59512;46695;32774;15293;7893;126127;31959;81172;12996;95976;27977;57809;10190
...Telefoniranje prek interneta;2010;183489;44796;51161;43050;29634;8875;5973;112116;25791;74448;11877;71373;19005;49397;2971
…Video telefoniranje s spletno kamero prek interneta;2010;146896;46784;43786;23458;16553;9863;6452;76560;23052;47383;6125;70336;23732;36414;10190
..Telefoniranje prek interneta, videokonferenca;2010;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
