LETO;NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
2010;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
2010;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2010;..Nalaganje vsebin na spletno stran;141904;147324;91083;40813;26946;3885
2010;..Pridobivanje informacij o izobraževanju;98978;122877;90199;66278;35189;6413
2010;..Opravljanje teèaja prek interneta;19940;14376;16903;8624;4574;511
2010;..Pridobivanje novih znanj, informacij;163604;186749;143675;95581;62553;12241
2010;..Uporaba interneta za izobraževanje in teèaje;177475;202709;160727;112378;68529;13125
2010;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2010;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2010;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2010;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2010;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2010;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;154762;179846;139800;101303;40779;10752
2010;..Poslušanje spletnih radijskih postaj;117820;129358;94500;51783;25300;6303
2010;..Gledanje spletne TV;111506;134199;105648;75777;33279;9358
2010;..Iskanje drugih informacij;-;-;-;-;-;-
2010;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2010;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2010;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2010;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2010;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2010;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2010;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2010;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;110439;99818;54338;27499;16021;2780
2010;..Pošiljanje sporoèil v spletne klepetalnice;68549;42378;27345;8049;7141;2411
2010;..Pošiljanje sporoèil v novièarske skupine;14014;25810;6666;4801;2913;1303
2010;..Pošiljanje sporoèil v spletne forume;80473;77214;43963;21972;11589;1030
2010;..Branje spletnih forumov;154704;196882;139549;103615;46967;10594
2010;..Neposredno sporoèanje;174194;141866;72921;45616;23899;3646
2010;..Branje blogov;114786;125794;92438;68224;46289;6949
2010;..Pošiljanje komentarjev na druge bloge;67824;42904;24551;8021;7941;1899
2010;..Ustvarjanje in urejanje lastnega bloga;33028;24414;10645;5397;3923;661
2010;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;117663;177845;150525;117523;61751;11118
2010;...Uporaba spletnih strani e-uprave za pridobivanje informacij;117663;177845;150525;117523;61751;11118
2010;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;50700;126307;101625;73137;34277;6650
2010;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;8796;47915;40569;19164;17216;721
2011;Posamezniki;197732;296102;295110;303872;270145;178223
2011;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];195017;276084;240963;197077;101050;27643
2011;..Pošiljanje ali prejemanje e-pošte;189610;251221;208271;157703;83243;19939
2011;..E-banèništvo;49444;144399;136997;96342;43688;6483
2011;..Iskanje informacij o blagu, storitvah;140924;232372;200281;153274;78457;19481
2011;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2011;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2011;..Uporaba storitev, povezanih s potovanji in nastanitvijo;103516;171677;116675;97577;46528;10552
2011;..Branje spletni novic, spletnih èasopisov, spletnih revij;147927;224018;170498;154499;74336;20767
2011;...Naroèilo na spletne èasopisove, revije;12918;36737;28492;17762;7107;3246
2011;..Iskanje službe, pošiljanje prošenj za službo;53848;94095;36140;24866;3105;-
2011;..Iskanje informacij, povezanih z zdravjem;123036;204026;171936;138343;70680;17326
2011;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2011;..Sodelovanje v spletnih družabnih omrežjih;156222;174808;90670;52918;12042;5968
2011;..Sodelovanje v profesionalnih spletnih omrežjih;8553;15531;9434;5468;1693;1432
2011;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2011;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;59510;79869;49467;30497;28670;8962
2011;...Telefoniranje prek interneta;-;-;-;-;-;-
2011;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2011;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2011;..Branje in objavljanje mnenj o politiènih temah;29874;68529;47663;43608;20491;7859
2011;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;9125;31519;20635;10737;5071;4739
2011;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2011;..Prodaja blaga, storitev;84576;151879;101318;78443;31867;10553
2011;..Prenašanje programske opreme;118311;121471;74503;34339;16291;4550
