NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Gledanje spletne TV;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Iskanje drugih informacij;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2008;-;-;-;-;-;-;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Branje spletnih forumov;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Neposredno sporoèanje;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Branje blogov;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2008;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2008;499536;39470;266275;193791;247273;18890;152070;76312;252263;20580;114205;117478
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2008;463041;36342;243480;183220;230745;15762;141291;73692;232297;20580;102189;109528
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2008;256391;12960;129643;113788;125547;5785;75656;44107;130844;7175;53988;69681
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2008;106317;7005;47466;51846;55849;2394;29817;23638;50468;4611;17649;28208
Posamezniki;2009;1578677;361127;925372;292178;788202;148173;521099;118931;790475;212955;404273;173247
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2009;978285;143335;562649;272301;493318;70937;313158;109224;484967;72399;249491;163078
..Pošiljanje ali prejemanje e-pošte;2009;832775;108489;463365;260922;423178;55452;262918;104809;409598;53037;200447;156113
..E-banèništvo;2009;386309;16588;202991;166730;196930;7128;116356;73445;189379;9460;86634;93285
..Iskanje informacij o blagu, storitvah;2009;773656;95034;436883;241738;386150;45679;246448;94023;387506;49355;190435;147716
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2009;568739;58321;317381;193037;286729;27027;178559;81142;282010;31294;138822;111895
